Hotel Name,Price,Rating
Vivid Boutique Hotel,1317,4.4 
Hilton Garden Inn Gurgaon Baani,3022,4.3 
Taj City Centre Gurugram,6000,4.6 
"Radisson Gurugram, Udyog Vihar",2961,4.2 
Mavens Inn,1133,4.8 
Park Inn Gurgaon,1509,4.1 
Lemon Tree Premier City Center Gurugram,3643,4.3 
DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR,3778,4.3 
"Country Inn And suites by Radisson Sec 12, Gurugram",1999,4 
Ramada Gurgaon Central,2499,4.1 
Hotel City Premier,1303,3.6 
Staayz Premium Hotel & Studio Apartments,979,4.1 
Mavens White,1069,4.5 
Hyatt Regency Gurgaon,3983,4.4 
"Country Inn and Suites By Radisson, Sector-29",2835,4.2 
Radisson Hotel Gurugram Sohna Road City Center,4480,4.1 
Red Fox Hotel Sec-60 Gurugram,1389,4.2 
The Pllazio Hotel,2602,4.4 
Renest Gurugram,1318,3.7 
Country Inn Suites By Radisson Sohna,7400,4.2 
The Leela Ambience Gurgaon Hotel and Residences,5499,4.6 
Holiday Inn Express GURUGRAM SECTOR 50,1539,3.9 
Maven's House,1012,4.3 
"Le Méridien Gurgaon, Delhi NCR",3400,4.3 
Crowne Plaza GURGAON,3696,4.6 
Courtyard Gurugram Downtown,3927,4.1 
Hotel Aadhar,1106,4 
 , , 
**************************************************,NAVI,********
 , , 
Ibis Navi Mumbai,2400,4.1 
"Royal Orchid Central Grazia, Vashi",3552,4.1 
Centre Point Navi Mumbai,2697,4.7 
Hotel Pearl,1173,3.8 
Fortune Select Exotica-Member ITC Hotel Group,2508,4.2 
"Country Inn & Suites by Radisson, Navi Mumbai",3100,4.4 
Hotel Venkat Presidency,1520,4.1 
Majestic Court Sarovar Portico,2525,4.1 
The Park Navi Mumbai,4750,4.3 
OYO Home 65363 Cozy Stay Ulwe,1525,4.1 
Monarch Express Panvel,2841,4.1 
OYO Home 49099 Peaceful Stay New Panvel,1845,4.5 
Four Points By Sheraton Navi Mumbai,3999,4.5 
Monarch Guestline,2262,4 
OYO 19748 Starwood Residency,1812,4.4 
Pallavi Avida,1938,4 
The Regenza by Tunga,3200,4 
hotel apple Inn,1342,4.3 
OYO Home 46640 Beautiful Stay Kharghar,1748,3.5 
Bhau Niwas 2,1661,3.5 
Ramada - Navi Mumbai,3305,4.4 
Soni Punjab Guest House,1571,3.5 
Hotel City View,1251,3.7 
Megh Residency,1744,4.2 
Hotel Shree Sai,857,3.7 
HOTEL THREE STAR PVT.LTD.,2537,3.8 
Hotel Shree Krishna Paradise,2014,3.9 
OYO 18748 Hotel Metro Palace,3531,3.5 
Hotel Apex,1355,3.7 
Hotel Corporate,2819,4.3 
 , , 
**************************************************,HYDERABAD,********
 , , 
Hotel Imperial Classic,767,4 
HOTEL RAINTR33,1114,4.4 
Fairfield by Marriott Hyderabad Gachibowli,2250,4.1 
Ellaa Hotel Gachibowli,1920,3.9 
"Park Hyatt Hotel and Residences, Hyderabad",5199,4.3 
Lemon Tree Premier HITEC City Hyderabad,1596,4.2 
Radisson Blu Plaza Hotel,3000,4.4 
Oakwood Residence Kapil Hyderabad,2600,4.5 
The Westin Hyderabad Mindspace,3510,4.6 
Radisson Hyderabad Hitec City,2521,4.3 
Hyatt Place Hyderabad Banjara Hills,4005,4.3 
Hotel Saptagiri Hyderabad,1817,4.1 
Aditya Hometel Hyderabad - A Sarovar Hotel,1456,4.1 
The Art Boutique Hotel,1305,3.9 
Red Fox Hotel Hyderabad,1398,4.1 
Sheraton Hyderabad,2925,4.5 
Hyatt Hyderabad Gachibowli,4200,4.2 
Hotel Deccan Serai,2393,4.2 
Hotel B Plus L,2072,4.4 
Holiday Inn Express Hyderabad HITEC City,1549,3.9 
Restle Studio's,1564,4.6 
Habeeb Villa,5514,4 
Courtyard by Marriott - Hyderabad,3347,4.6 
Park Continental,1471,4 
Our Nest,1056,4 
Holiday Inn Express Hyderabad Banjara Hills,1819,4.1 
Lemon Tree Hotel Gachibowli,1587,4.2 
The Central Court,1223,3.7 
"ITC Kakatiya,A Luxury Collection Hotel",3600,4.4 
Hotel ABODE,1950,4.3 
 , , 
**************************************************,INDORE,********
 , , 
Ginger Indore,1977,3.9 
Hotel Effotel Indore,3540,4.5 
WOW Hotel,4052,4.5 
The Ashoka,2706,4 
Sayaji Hotels,3658,4.5 
Indore Marriott Hotel,6290,4.3 
Radisson Blu Hotel Indore,5700,4.6 
Lemon Tree Hotel Indore,2116,4.2 
SureStay Plus by Best Western,2360,4.4 
Hotel Kalinga,1630,4.1 
Hotel Princess Palace,1913,4.2 
Hotel Somdeep Palace,3729,4.1 
Fairfield by Marriott Indore,3299,4.4 
SilverKey Executive Stays 45911 Softvision College,986,4.3 
Jainam Fully AC Dormitory,336,4.3 
OYO Townhouse 135 Gandhi Hall,1504,3.9 
Hotel Purva,1191,4.1 
Hotel Ambassador,1645,4.3 
SkyLine Club & Resorts,2439,3.9 
Chokhi Dhani Indore - An Ethnic Village Resort,2556,4 
Hotel Atithi Niwas,1998,4.1 
Hotel Apna Avenue,1773,4.2 
Crescent Spa & Resort,4622,4.3 
Capital O 16115 Hotel Solitaire,2175,4.4 
OYO 11657 Hotel SVL Inn,832,3.9 
Infiniti Hotel and Spa,5269,4.3 
Capital O 26167 Ten Eleven Grand,1649,4.6 
Silverkey Executive Stays 45844 Near KIBS Hospital,999,4.1 
OYO 18692 JMC Star Inn,1066,4.1 
SilverKey Executive Stays 41109 Chikitsak Nagar,999,3.9 
 , , 
**************************************************,DELHI,********
 , , 
Hotel Aman Continental,1426,4.2 
Holiday Inn New Delhi International Airport,3919,4.3 
Crowne Plaza NEW DELHI MAYUR VIHAR NOIDA,2804,4.4 
"Taj Palace, New Delhi",7006,4.6 
Hotel Chanakya Inn,584,3.6 
The Gold Regency@2mins Walk From New Delhi Railway Station,1227,4.2 
Radisson Blu Plaza Delhi Airport,2835,4.3 
Hotel International Inn,1436,4.1 
Ginger Hotel (East Delhi),2764,3.8 
Hotel Hari Piorko,850,4.1 
Hotel Pearl,498,4 
Radisson Blu Hotel New Delhi Paschim Vihar,5588,3.8 
Red Fox Hotel Delhi Airport,2280,3.9 
Olivia Hotels,513,4.1 
Radisson Blu New Delhi Dwarka,4400,3.9 
The Daanish Residency,672,4 
Country Inn Suites By Radisson Delhi Saket,3224,4.2 
"Vivanta New Delhi, Dwarka",6600,4.4 
JP Hotel & Resorts,16587,3.9 
Westend Inn,2000,N/A
"Welcomhotel Dwarka, Member of ITC's Hotel Group",5200,4.2 
Holiday Inn NEW DELHI MAYUR VIHAR NOIDA,2720,4.3 
"Park Inn by Radisson, Lajpat Nagar",4274,4.2 
Grand Venizia Hotel,10534,3.8 
Pride Plaza Hotel Aerocity New Delhi,6749,4.3 
Lemon Tree Premier Delhi Airport,2671,3.9 
Roseate House New Delhi,5063,4.5 
Crowne Plaza Okhla,6600,4.5 
Hotel ALL IZ WELL,1118,4.1 
Hyatt Regency New Delhi,5999,4.3 
 , , 
**************************************************,GURGAON,********
 , , 
"Lemon Tree Premier 2, Sec 29 Gurgaon",3643,4.2 
Golden Tulip Suites Gurgaon,5638,4.1 
"Lemon Tree Premier 1, Sec 29 Gurgaon",3397,4.1 
Vivid Boutique Hotel,1317,4.4 
Hilton Garden Inn Gurgaon Baani,3022,4.3 
Taj City Centre Gurugram,6000,4.6 
"Radisson Gurugram, Udyog Vihar",2961,4.2 
Mavens Inn,1133,4.8 
Park Inn Gurgaon,1509,4.1 
Lemon Tree Premier City Center Gurugram,3643,4.3 
DoubleTree by Hilton Hotel Gurgaon - New Delhi NCR,3778,4.3 
"Country Inn And suites by Radisson Sec 12, Gurugram",1999,4 
Ramada Gurgaon Central,2499,4.1 
Hotel City Premier,1303,3.6 
Staayz Premium Hotel & Studio Apartments,979,4.1 
Mavens White,1069,4.5 
Hyatt Regency Gurgaon,3983,4.4 
"Country Inn and Suites By Radisson, Sector-29",2835,4.2 
